gvkey,datadate,fyear,tic,conm,curcd,at,bkvlps,ebitda,epspi,lt,revt,txpd,wcapch,prcc_c,state
23485,20041231,2004,CVA,COVANTA HOLDING CORP,USD,1939.081,1.836,144.658,0.54,1720.916,578.07,8.45,,8.45,NJ
23485,20051231,2005,CVA,COVANTA HOLDING CORP,USD,4702.165,4.2449,309.604,0.49,4022.296,978.763,15.06,,15.06,NJ
23485,20061231,2006,CVA,COVANTA HOLDING CORP,USD,4437.82,5.0112,443.87,0.73,3655.987,1268.536,22.04,,22.04,NJ
23485,20071231,2007,CVA,COVANTA HOLDING CORP,USD,4368.499,6.6661,459.024,0.85,3301.664,1433.087,27.66,,27.66,NJ
23485,20081231,2008,CVA,COVANTA HOLDING CORP,USD,4279.989,7.4677,465.574,0.91,3092.856,1664.253,21.96,,21.96,NJ
23485,20091231,2009,CVA,COVANTA HOLDING CORP,USD,4934.282,8.9263,424.906,0.66,3517.113,1550.467,18.09,,18.09,NJ
23485,20101231,2010,CVA,COVANTA HOLDING CORP,USD,4676.302,7.5234,390.609,0.4,3515.843,1582.301,17.19,,17.19,NJ
23485,20111231,2011,CVA,COVANTA HOLDING CORP,USD,4385,7.9632,411,1.55,3297,1650,13.69,,13.69,NJ
23485,20121231,2012,CVA,COVANTA HOLDING CORP,USD,4526,7.9394,413,0.87,3471,1644,18.42,,18.42,NJ
23485,20131231,2013,CVA,COVANTA HOLDING CORP,USD,4378,6.9769,423,-0.05,3467,1630,17.75,,17.75,NJ
23485,20141231,2014,CVA,COVANTA HOLDING CORP,USD,4204,5.8797,448,-0.01,3420,1682,22.01,,22.01,NJ
23485,20151231,2015,CVA,COVANTA HOLDING CORP,USD,4259,4.8702,365,0.52,3619,1645,15.49,,15.49,NJ
23485,20161231,2016,CVA,COVANTA HOLDING CORP,USD,4284,3.6077,338,-0.03,3815,1699,15.6,,15.6,NJ
23485,20171231,2017,CVA,COVANTA HOLDING CORP,USD,4441,3.2595,282,0.44,4014,1752,16.9,,16.9,NJ
23485,20181231,2018,CVA,COVANTA HOLDING CORP,USD,3843,3.7176,334,1.17,3356,1868,13.42,,13.42,NJ
110732,19961231,1996,WCN,WASTE CONNECTIONS INC,USD,15.291,,0.606,,2.485,22.16,,,,ON
110732,19971231,1997,WCN,WASTE CONNECTIONS INC,USD,18.88,-1.5339,-3.979,-3.61,11.908,24.351,0,,,ON
110732,19981231,1998,WCN,WASTE CONNECTIONS INC,USD,149.312,6.472,9.983,0.13,88.249,54.042,0.509,,18.375,ON
110732,19991231,1999,WCN,WASTE CONNECTIONS INC,USD,617.294,10.3544,55.363,0.5,398.755,182.618,2.636,,14.4375,ON
110732,20001231,2000,WCN,WASTE CONNECTIONS INC,USD,810.104,12.6211,104.266,1.21,475.896,304.355,13.123,,33.0625,ON
110732,20011231,2001,WCN,WASTE CONNECTIONS INC,USD,979.353,13.8552,135.815,1.13,579.563,377.533,13.607,,30.99,ON
110732,20021231,2002,WCN,WASTE CONNECTIONS INC,USD,1261.882,16.1055,173.388,2,787.092,498.661,8.408,,38.61,ON
110732,20031231,2003,WCN,WASTE CONNECTIONS INC,USD,1395.952,18.7496,192.301,2.32,834.533,563.509,12.877,,37.77,ON
110732,20041231,2004,WCN,WASTE CONNECTIONS INC,USD,1491.483,14.862,208.06,1.55,759.54,629.363,17.164,,34.25,ON
110732,20051231,2005,WCN,WASTE CONNECTIONS INC,USD,1676.307,15.6751,234.238,1.8,931.75,721.899,32.369,,34.46,ON
110732,20061231,2006,WCN,WASTE CONNECTIONS INC,USD,1773.891,16.1825,247.047,1.7,1009.417,824.354,15.006,,41.55,ON
110732,20071231,2007,WCN,WASTE CONNECTIONS INC,USD,1981.958,11.5604,292.887,1.45,1176.593,958.541,33.418,,30.9,ON
110732,20081231,2008,WCN,WASTE CONNECTIONS INC,USD,2600.64,15.7151,311.914,1.51,1345.245,1049.603,24.635,,31.57,ON
110732,20091231,2009,WCN,WASTE CONNECTIONS INC,USD,2820.448,17.2242,366.778,1.38,1463.412,1191.393,26.848,,33.34,ON
110732,20101231,2010,WCN,WASTE CONNECTIONS INC,USD,2915.984,11.989,422.491,1.17,1545.566,1319.757,50.111,,27.53,ON
110732,20111231,2011,WCN,WASTE CONNECTIONS INC,USD,3328.005,12.5772,489.53,1.47,1928.318,1505.366,52.729,,33.14,ON
110732,20121231,2012,WCN,WASTE CONNECTIONS INC,USD,5076.026,15.2672,528.419,1.31,3192.896,1661.618,69.954,,33.79,ON
110732,20131231,2013,WCN,WASTE CONNECTIONS INC,USD,5064.252,16.5343,656.784,1.58,3016.045,1928.795,81.17,,43.63,ON
110732,20141231,2014,WCN,WASTE CONNECTIONS INC,USD,5250.031,17.9714,716.859,1.87,3016.29,2079.166,116.239,,43.99,ON
110732,20151231,2015,WCN,WASTE CONNECTIONS INC,USD,5121.798,16.2221,710.388,-0.78,3130.014,2117.287,102.279,,56.32,ON
110732,20161231,2016,WCN,WASTE CONNECTIONS INC,USD,11193.102,32.2343,1078.952,1.61,5538.225,3375.863,69.589,,78.59,ON
110732,20171231,2017,WCN,WASTE CONNECTIONS INC,USD,12014.681,23.7905,1460.417,2.19,5740.611,4630.488,155.532,,70.94,ON
110732,20181231,2018,WCN,WASTE CONNECTIONS INC,USD,12627.329,24.5291,1562.765,2.07,6167.141,4922.941,52.464,,74.25,ON
112168,19971231,1997,RSG,REPUBLIC SERVICES INC,USD,1348,,287.4,0.66,597.2,1127.7,29.4,,,AZ
112168,19981231,1998,RSG,REPUBLIC SERVICES INC,USD,2812.1,7.406,390.6,1.13,1513,1369.1,65.4,,18.4375,AZ
112168,19991231,1999,RSG,REPUBLIC SERVICES INC,USD,3288.3,8.5633,560.7,1.14,1785.6,1838.5,100.3,,14.25,AZ
112168,20001231,2000,RSG,REPUBLIC SERVICES INC,USD,3561.5,9.737,638.1,1.26,1886.6,2103.3,89.3,,17.1875,AZ
112168,20011231,2001,RSG,REPUBLIC SERVICES INC,USD,3856.3,10.3505,630.9,0.73,2100.4,2257.5,109.3,,19.97,AZ
